Gal,System,Pos,Planeta / Nazwa (Aktywność),Księżyc,PZ,Status,Gracz,Sojusz,Akcja,Pozycja,PlayerId,PlanetId,Komentarz covidu,,
,,,5739 planet / 9 opuszczonych,230 moonów,,,zielony = idler,1813 idlerów,,,,, by matej & polkin3run & rabus,,
,,,,,,,,,,,,,,,
1,6,5,Serwerownia (40 min),,,i,nuncjusz,-,Szpieguj,992,9,8,,80,100605
1,6,6,213,,,,UnRev,BEST,Szpieguj,372,28,3422,,81,100606
1,6,7,Kolonia (40 min),,,i,nuncjusz,-,Szpieguj,992,9,3989,,82,100607
1,6,8,Planeta macierzysta,,,i,wacoplaco,-,Szpieguj,1817,1013,1012,,83,100608
1,6,9,Giedi Prime (44 min),,,,makap,ZERO,Szpieguj,144,55,5378,,84,100609
1,7,1,,,,,,,,0,0,0,,91,100701
1,7,10,Jeb Go Ma C (41 min),,,i,Neftri,-,Szpieguj,745,1014,4412,,100,100710
1,7,11,Na H mi To (41 min),,,i,Neftri,-,Szpieguj,745,1014,1013,,101,100711
1,7,12,,,,,,,,0,0,0,,102,100712
1,7,13,,,,,,,,0,0,0,,103,100713
1,7,14,,,,,,,,0,0,0,,104,100714
1,7,15,,,,,,,,0,0,0,,105,100715
1,7,2,,,,,,,,0,0,0,,92,100702
1,7,3,,,,,,,,0,0,0,,93,100703
1,7,4,,,,,,,,0,0,0,,94,100704
1,7,5,Planeta macierzysta,,,i,Technik,-,Szpieguj,1171,10,9,,95,100705
1,7,6,Kolonia,,,,utqwd,-,Szpieguj,218,1012,4701,,96,100706
1,7,7,Dindu (*),,,,random_bash,-,Szpieguj,474,294,4252,,97,100707
1,7,8,Planeta macierzysta,,,i,MirkO,-,Szpieguj,1868,1913,1912,,98,100708
1,7,9,W Du E To (41 min),,,i,Neftri,-,Szpieguj,745,1014,4216,,99,100709
1,8,1,,,,,,,,0,0,0,,106,100801
1,8,10,Kolonia,,,i,BuryBot,-,Szpieguj,1091,13,4732,,115,100810
1,8,11,Planeta macierzysta,,,i,sus,-,Szpieguj,1546,1914,1913,,116,100811
1,8,12,KABLE NIE GRAJO,,,,Roszp,CO5G,Szpieguj,428,1015,1014,,117,100812
1,8,13,,,,,,,,0,0,0,,118,100813
1,8,14,,,,,,,,0,0,0,,119,100814
